roadId,from_node,to_node,from_node_lat,from_node_lon,to_node_lat,to_node_lon,length
5880,42445666,42442933,40.7475605,-73.9727362,40.7479204,-73.973591,82.43088633383672
5881,42445666,42454006,40.7475605,-73.9727362,40.7469416,-73.9731926,78.83619896632365
5882,42445667,42453011,40.7469339,-73.9712078,40.747543,-73.9707699,77.14874259595486
5883,42445667,42445666,40.7469339,-73.9712078,40.7475605,-73.9727362,146.48528776610414
5884,42445672,42436283,40.850694,-73.927477,40.851432,-73.92708,88.61347543567767
5885,42445672,42442738,40.850694,-73.927477,40.8484776,-73.9306128,425.5421142193926
5886,42445675,42436288,40.851793,-73.930101,40.852476,-73.929603,86.76901989715398
5887,42445675,42442755,40.851793,-73.930101,40.8511764,-73.9286408,140.9089737770813
5888,42445675,42454102,40.851793,-73.930101,40.851109,-73.930602,86.98886585123515
5889,42445680,42436293,40.852898,-73.932725,40.853582,-73.932228,86.82561189028634
5890,42445680,42449644,40.852898,-73.932725,40.852213,-73.933226,87.08607338532609
5891,42445680,42433077,40.852898,-73.932725,40.85238,-73.931495,118.61943699536802
5892,42445689,42429072,40.853479,-73.935133,40.8532,-73.934193,85.10545879891136
5893,42445689,42454240,40.853479,-73.935133,40.852339,-73.935716,135.93972534242806
